poetID,value,value,sourceNpv,sourceNpv,ccy,maturityDate,ttm,maID,gpName,notional
10372164,333.4708566536178,327.1332424147351,479289.9618,476680.4680,EUR,2019-09-23,4.232717,DRV-10000206-00,VBMODAUTAL,3000000.0000
10372377,184.10221411723344,206.21980484179804,5604.9903,5999.5973,EUR,2019-12-30,4.501026,DRV-22056748-09,THEOPHILURB,1307453.1100
10377750,4.457652010342287,4.731378826434621,-1136597.7967,-1130265.0894,EUR,2019-10-01,4.254620,10377750,CIFEUMTGXXX,7000000.0000
10379245,9.836605403641913,9.845363696839032,90886.8169,90884.5526,EUR,2016-02-15,0.629705,DRV-10000059-01,VBDILL,3000000.0000
10379263,78.15267821714806,78.08211930286303,292208.3739,291784.6675,EUR,2017-07-17,2.047912,DRV-10000059-01,VBDILL,3000000.0000
10380906,2799.733926684395,2690.0890327496913,1711838.1209,1698380.6739,EUR,2022-09-26,7.241615,DRV-20000194-00,VBBADENBADEN,7000000.0000
10384719,12143.111287475791,12540.020279771148,463254.8172,493784.5525,EUR,2019-03-29,3.745379,DRV-22064893-09,FERGGTHOMNBG,3500000.0000
10386813,0.0,0.0,155866.2332,155738.2335,EUR,2016-10-10,1.281314,DRV-20021742-97,VBBONN,2500000.0000
10389763,37198.54548032206,34893.58095374656,2570889.8445,2565684.3426,EUR,2039-09-28,24.246406,DRV-20000249-04,RBMITTELHAAR,5000000.0000
10395294,0.02027695435400734,0.024819618378605777,-628019.2938,-625812.3685,EUR,2018-09-28,3.247091,DRV-20009530-03,VBTUEBINGEN,5000000.0000
10405130,93.27515257137402,90.36920335375767,248086.4673,246707.3560,EUR,2019-04-30,3.832991,DRV-15012818-07,RBBUCHKAUFBE,2000000.0000
10405165,16.937886031630462,16.551998088503797,184458.4083,184343.0505,EUR,2016-11-30,1.420944,DRV-15012818-07,RBBUCHKAUFBE,3000000.0000
10407347,11878.444336240877,11392.244890912216,263020.7553,260842.4155,EUR,2024-07-29,9.081451,DRV-22027972-07,FISCHERCGBDV,1184000.0000
10410026,527.0366183965286,513.5541597981311,769748.9298,765354.7096,EUR,2019-10-02,4.257357,DRV-20000254-00,VBGLANMUENCH,5000000.0000
10413772,1452.5655684882838,1478.5991764051582,52373.8601,55858.9662,EUR,2019-09-30,4.251882,DRV-22062818-09,SCHWARZKEM,395874.3300
10414684,12.41362309636753,12.438935078540254,7804.3418,7798.0315,EUR,2016-10-31,1.338809,DRV-21040957-07,MEGAMALERHBG,321460.0000
10418430,53.18547558612239,53.310599456633284,7624.0478,7618.9921,EUR,2016-10-06,1.270362,DRV-22063725-09,TQGROUPSEE,321429.4200
10418834,230.15720373041074,250.6546009964387,15699.4308,17923.8404,EUR,2017-03-31,1.752224,DRV-22063693-09,HSBEREDEREMS,275000.0000
10420400,1920.0337471232792,1811.1623608336804,357193.4012,354634.6221,EUR,2029-10-08,14.275154,DRV-10000189-00,VBODENWALD,1000000.0000
10423565,1182.8990698823352,1216.4834427936685,135438.0977,145624.8294,EUR,2019-09-30,4.251882,DRV-22063244-09,BIRKVERWNUER,1000000.0000
10425584,430.8551041772312,439.09493085967665,129322.5972,137867.7734,EUR,2019-09-30,4.251882,DRV-22063762-09,DIAKONGESDAR,1078000.0000
10432253,1485.4951046802726,1468.725167902873,5034937.0209,5025406.5895,EUR,2017-10-12,2.286105,DRV-20011849-04,PSDBKKLN,50000000.0000
10432988,4.99215616834788,4.910612800886868,89212.6325,89165.1746,EUR,2016-10-12,1.286789,DRV-10000296-00,VBNAHESCHAUM,1500000.0000
10434457,4154.055084650425,4033.905154204725,121545.4711,120702.9240,EUR,2021-09-01,6.173853,DRV-22064753-09,WALDKLINIISN,634000.0000
10434907,6911.871384603189,6725.976262387129,237079.2457,235353.1951,EUR,2021-10-01,6.255989,DRV-22063884-09,PITZBUSCHBOL,1022400.0000
10438187,100.4938215869555,101.24381154253156,595698.4941,595187.0507,EUR,2016-10-13,1.289527,DRV-20016343-94,VRWUERZBURG,10000000.0000
